Khi ta gõ bàn phím bằng 10 ngón vị trí của 2 phím có gờ nổ F và J dùng để đặt ngón tay nào?|Ngón trỏ@Ngón cái@Ngón giữa@Ngón áp út|Ngón trỏ
G8 là gồm G7 và nước nào?|Trung Quốc@Nga@Hoa Kì@Australia|Nga
Vịnh Cam Ranh nằm ở địa phận tỉnh nào?|Khánh Hòa@Bình Thuận@Phú Yên@Bình Định|Khánh Hòa
Đàn Talu là của dân tộc nào?|Kinh@H'Mong@Dao@Vân Kiều|Vân Kiều
Thành phố Cố đô của Nhật Bản?|Tokyo@Hiroshima@Osaka@Kyoto|Kyoto
EURO lần đầu tiên tổ chức tại quốc gia nào?|Pháp@Bỉ@Hà Lan@Anh|Pháp
Cáp quang là dây dẫn sáng ứng dụng hiện tượng gì để truyền tín hiệu trong thông tin?|Phản xạ toàn phần@Tán sắc ánh sáng@Khúc xạ ánh sáng@Nhiễu xạ ánh sáng|Phản xạ toàn phần
Ở các nước theo chế độ "tam quyền phân lập", quyền lập pháp thuộc về nghị viện (quốc hội), quyền hành pháp thuộc chính phủ (nội các), quyền tư pháp thuộc về...|Toà án@Quốc hội@Chính phủ@Ủy ban tư pháp|Toà án
Hacdi (người Anh) và Vanbec (Đức) đồng thời phát hiện ra quy luật ổn định về tỉ lệ phân bố kiểu gen, kiểu hình của quần thể ngẫu phối vào năm nào?|1905@1910@1920@1909|1909
Hãy điền từ còn thiếu trong đoạn văn sau: "....là cái liềm vàng giữa đồng sao....là cái đỉa bạc trên tấm thảm nhung da trời....toả xuống trần gian...tuôn suối mát để những hồn khao khát ngụp lặn."|Trăng@Sao@Mây@Gió|Trăng
Từ 1 đến 150 có bao nhiêu chữ số 0?|14@15@16@17|16
Which is the mascot of AIG 3?|Tiger@Chicken@Elephant@Horse|Chicken
Cứ 4 vỏ chai nước ngọt thì đổi được 1 chai mới. Hỏi với 16 vỏ chai nước ngọt có thể đổi được bao nhiêu chai?|5@4@6@7|5
"Hồ Thiên Nga" là nhạc phẩm của ai?|Bach@Mozart@Beethoven@Tchaicovsky|Tchaicovsky
Đây là môn võ nào: Môn võ này có nguồn gốc từ Nhật Bản và dùng tay khi đối kháng?|Judo@Karatedo@Aikido@Kendo|Karatedo
